#Age (Myr)	d18O(‰)
3.413	3.31
3.416	3.27
3.419	3.21
3.422	3.16
3.425	3.14
3.428	3.22
3.431	3.3
3.434	3.33
3.437	3.37
3.44	3.29
3.443	3.23
3.446	3.08
3.449	3
3.452	2.94
3.455	2.9
3.458	3.07
3.461	3.12
3.464	3.16
3.467	3.09
3.47	2.89
3.473	3.03
3.476	2.99
3.479	3.09
3.482	3.16
3.485	3.06
3.488	2.97
3.491	2.98
3.494	2.98
3.497	2.74
3.5	2.86
3.503	2.9
3.506	2.94
3.509	2.88
3.512	2.87
3.515	2.9
3.518	3
3.521	3.03
3.524	2.95
3.527	2.95
3.53	2.91
3.533	2.86
3.536	2.88
3.539	2.88
3.542	2.91
3.545	3.06
3.548	3.24
3.551	3.1
3.554	2.92
3.557	2.97
3.56	3.09
3.563	3.04
3.566	3.02
3.569	3.05
3.572	2.98
3.575	2.88
3.578	2.97
3.581	3.03
3.584	3.18
3.587	3.14
3.59	3.23
3.593	3.06
3.596	2.98
3.599	2.94
3.602	2.94
3.605	3.01
3.608	3.1
3.611	2.95
3.614	2.72
3.617	2.81
3.62	2.92
3.623	3.09
3.626	3.21
3.629	3.22
3.632	3.29
3.635	3.34
3.638	3.08
3.641	2.88
3.644	2.89
3.647	2.87
3.65	2.87
3.653	2.79
3.656	2.84
3.659	2.87
3.662	3.01
3.665	3.04
3.668	3.13
3.671	3.19
3.674	3.22
3.677	3.28
3.68	3.28
3.683	3.23
3.686	3.17
3.689	3.12
3.692	2.96
3.695	2.91
3.698	2.83
3.701	2.71
3.704	3.01
3.707	2.98
3.71	2.87
3.713	2.96
3.716	3.06
3.719	3.14
3.722	3.14
3.725	2.98
3.728	2.87
3.731	2.94
3.734	2.89
3.737	2.73
3.74	2.82
3.743	2.86
3.746	2.85
3.749	2.86
3.752	2.85
3.755	2.91
3.758	3.04
3.761	2.94
3.764	2.88
3.767	2.81
3.77	2.71
3.773	2.75
3.776	2.74
3.779	2.67
3.782	2.82
3.785	3
3.788	3.11
3.791	3.16
3.794	3.2
3.797	2.99
3.8	2.89
3.803	2.88
3.806	2.97
3.809	3.01
3.812	2.99
3.815	3.06
3.818	3.03
3.821	3.04
3.824	3.1
3.827	2.98
3.83	2.94
3.833	2.89
3.836	2.93
3.839	3.02
3.842	3.18
3.845	3.18
3.848	3.02
3.851	2.8
3.854	2.68
3.857	2.64
3.86	2.63
3.863	2.87
3.866	2.85
3.869	2.71
3.872	2.76
3.875	2.96
3.878	3.01
3.881	3.08
3.884	3.13
3.887	3.12
3.89	2.85
3.893	2.85
3.896	2.94
3.899	2.85
3.902	2.92
3.905	3.03
3.908	2.96
3.911	2.92
3.914	2.95
3.917	2.88
3.92	2.87
3.923	2.99
3.926	3.02
3.929	2.99
3.932	2.9
3.935	2.85
3.938	2.75
3.941	2.76
3.944	3.06
3.947	3.06
3.95	3.06
3.953	2.89
3.956	2.88
3.959	3.03
3.962	3.02
3.965	3.03
3.968	3.07
3.971	3.07
3.974	3.08
3.977	3.21
3.98	3.15
3.983	3.3
3.986	3.21
3.989	3.26
3.992	3.39
3.995	3.59
3.998	3.45
4.001	3.31
4.004	3.1
4.007	3.28
4.01	3.12
4.013	2.96
4.016	2.86
4.019	3.06
4.022	3.11
4.025	3.03
4.028	2.98
4.031	3.09
4.034	3.28
4.037	3.4
4.04	3.35
4.043	3.35
4.046	3.32
4.049	3.31
4.052	3.31
4.055	3.14
4.058	3.12
4.061	3.01
4.064	3.02
4.067	2.98
4.07	2.98
4.073	3.06
4.076	3.04
4.079	2.93
4.082	2.99
4.085	3.01
4.088	3.09
4.091	3.16
4.094	3.2
4.097	3.1
4.1	2.98
4.103	2.83
4.106	2.74
4.109	2.8
4.112	2.9
4.115	2.93
4.118	2.99
4.121	3.03
4.124	3
4.127	2.82
4.13	2.96
4.133	2.98
4.136	2.94
4.139	3.05
4.142	3.14
4.145	3.16
4.148	3.1
4.151	2.91
4.154	2.74
4.157	2.76
4.16	2.77
4.163	2.78
4.166	2.84
4.169	2.86
4.172	2.91
4.175	2.81
4.178	2.93
4.181	2.87
4.184	2.89
4.187	2.96
4.19	2.9
4.193	2.89
4.196	2.97
4.199	2.98
4.202	2.71
4.205	2.6
4.208	2.76
4.211	3
4.214	3.03
4.217	3.06
4.22	2.84
4.223	2.84
4.226	2.88
4.229	2.94
4.232	3.12
4.235	3.15
4.238	3.13
4.241	3.03
4.244	2.88
4.247	2.9
4.25	3.05
4.253	3.21
4.256	3.29
4.259	3.11
4.262	3.15
4.265	3.11
4.268	3.05
4.271	2.84
4.274	2.81
4.277	2.7
4.286	3.07
4.289	3.19
4.292	3.04
4.295	3
4.298	2.93
4.301	2.87
4.304	2.94
4.307	3.15
4.31	3.1
4.313	2.99
4.316	2.84
4.319	2.71
4.322	2.68
4.325	2.85
4.328	2.94
4.331	2.68
4.334	2.81
4.337	2.8
4.34	2.84
4.343	2.95
4.346	2.98
4.349	3.15
4.352	3.02
4.355	2.94
4.358	2.99
4.361	3.05
4.364	3.02
4.367	2.91
4.37	2.87
4.373	3.03
4.376	3.08
4.379	3.01
4.382	3.12
4.385	3.07
4.388	3.14
4.391	2.96
4.394	2.91
4.397	3.08
4.4	3.12
4.403	3
4.406	2.87
4.409	2.9
4.412	2.98
4.415	2.75
4.418	2.95
4.421	3.21
4.424	2.96
4.427	2.97
4.43	2.74
4.433	2.84
4.436	2.9
4.439	2.78
4.442	2.72
4.445	2.94
4.448	3.07
4.451	2.89
4.454	2.56
4.457	2.8
4.46	2.87
4.463	2.83
4.466	2.81
4.469	2.76
4.472	2.68
4.475	2.71
4.478	2.82
4.481	2.83
4.484	2.68
4.487	2.79
4.49	2.87
4.493	2.88
4.496	2.94
4.499	2.99
4.502	2.8
4.505	2.91
4.508	2.84
4.511	3.08
4.514	3.21
4.517	3.22
4.52	3.14
4.523	2.97
4.526	2.9
4.529	2.86
4.532	2.89
4.535	2.93
4.538	2.95
4.541	3
4.544	2.95
4.547	2.98
4.55	3.03
4.553	3.17
4.556	3.29
4.559	3.25
4.562	3.19
4.565	3.09
4.568	3.02
4.571	3.11
4.574	3.07
4.577	3
4.58	3.03
4.583	2.98
4.586	2.97
4.589	3.04
4.592	3.12
4.595	3.22
4.598	3.26
4.601	3.15
4.604	2.98
4.607	3.01
4.61	3.13
4.613	3.19
4.616	3.15
4.619	2.99
4.622	2.9
4.625	2.87
4.628	2.96
4.631	3.2
4.634	3.19
4.637	3.1
4.64	3.01
4.643	2.95
4.646	2.95
4.649	2.88
4.652	2.88
4.655	2.92
4.658	2.84
4.661	2.75
4.664	2.77
4.667	3.3
4.67	3.32
4.673	3.21
4.676	3.07
4.679	3.18
4.682	3.18
4.685	3.01
4.688	3.13
4.691	3.1
4.694	3.13
4.697	3.1
4.7	2.99
4.703	3.04
4.706	3.22
4.709	3.25
4.712	3.26
4.715	3.23
4.718	3.25
4.721	3.2
4.724	3.05
4.727	3
4.73	2.98
4.733	3.02
4.736	3.05
4.739	2.93
4.742	2.87
4.745	3
4.748	3.15
4.751	3.3
4.754	3.31
4.757	3.26
4.76	3.1
4.763	2.95
4.766	2.96
4.769	2.85
4.772	2.9
4.775	3.03
4.778	3
4.781	2.88
4.784	2.92
4.787	3.01
4.79	3.19
4.793	3.07
4.796	3.03
4.799	2.96
4.802	2.84
4.805	2.63
4.808	2.74
4.811	2.75
4.823	2.96
4.826	3.31
4.829	3.47
4.832	3.42
4.835	3.38
4.838	3.3
4.841	2.99
4.844	3.03
4.847	2.95
4.85	2.87
4.853	2.83
4.856	2.93
4.859	3.03
4.862	3.09
4.865	3.19
4.868	3.32
4.871	3.45
4.874	3.48
4.877	3.5
4.88	3.39
4.883	3.28
4.886	3.29
4.889	3.08
4.892	2.99
4.895	2.87
4.898	2.9
4.901	3
4.904	3.04
4.907	3
4.91	3.05
4.913	2.98
4.916	2.98
4.919	2.97
4.922	3
4.925	3.09
4.928	2.98
4.931	3.12
4.934	3.15
4.937	3.11
4.94	3.04
